st_number,pos_code,label
1475,B4A 3Z5,business
43,B4A 4C4,business
1690,B3T 1P7,business
971,B4G 0A7,business
65,B3N 2G6,business
6,B3S 1G5,business
30,B3T 1J4,business
320,B2W 4T6,business
945,B3H 2Y2,business
468,B2H 1X1,business
60,B3A 4R9,business
22,B4C 2J3,business
22,B4C 2J3,business
21,B1L 1G9,business
31,B1R1T9,business
89,B2G 1P5,business
2875,B3E 1A4,business
50,B3B1W2,business
50,B3B1W2,business
372,B5A 2L2,business
55,B0N 1C0,business
1040,B5A 5K1,business
71,B0K 1S0,business
24,B0K 1H0,business
1,B4H 1X2,business
1252,B0M 1G0,business
1,B3Z 1E5,business
6101,B3H 1T2,business
1355,B3H 4J1,business
8423,B0W 2K0,business
87,B4V 1T2,business
595,B2V 1Y5,business
1215,B4B 2E1,business
721,B1S 2H3,business
535,B0T 1K0,business
91,B2Y 1M1,business
17,B4P 1X4,business
54,B3M 4R9,business
26,B0J 2C0,business
1472,B0W 3J0,business
2717,B3L 4T9,business
10492,B2H 5C7,business
4258,B0W 3M0,business
295,B0S 1P0,business
12280,B0N 1X0,business
15118,B0E 1H0,business
9,B0S 1A0,business
1714,B3T 1B4,business
480,B2T 1M5,business
167,B0S 1P0,business
1063,B0P 1H0,business
3461,B3N 2S7,business
50,B2N 4V3,business
5,B3M 2Y9,business
14,B0T 1W0,business
35,B0T 1W0,business
61,B3A 3G7,business
5251,B3J 1P3,business
27,B4A 3K4,business
28,B2X 1K8,business
33,B2Y 1P1,business
6462,B3L 1X4,business
29,B3M 3A4,business
21,B2W 2R7,business
44,B4C 1A9,business
658,B2S 1C9,business
1,B3Z 1K7,business
59,B3M 3M5,business
81,B2G 2C9,business
108,B0T 1K0,business
2557,B3K 3V6,business
91,B0T 1L0,business
30,B3P 2J8,business
3405,B3K 3M3,business
75,B4V 1V8,business
86,B0N 2A0,business
95,B4G 1C5,business
1250,B1M 1A2,business
121,B0S1M0,business
1094,B3H 2Z9,business
755,B1V 2L4,business
949,B0P 1N0,business
18,B4H 2L6,business
22,B3M 0C2,business
8,B2Y 1Y2,business
53,B5A 3B1,business
15,B2V 2T1,business
64,B0P 1N0,business
91,B4E 3B1,business
567,B4C 2S4,business
1,B3Z 1E5,business
222,B4C 2R4,business
55,B2N 3K8,business
30,B1R 1T8,business
2370,B0K 2A0,business
500,B3M 0E6,business
35,B1S 1M8,business
111,B0N 2J0,business
3,B3M 2C9,business
281,B0K 1S0,business
50,B3M 3B5,business
1710,B4E 3A9,business
7071,B3L 2C2,business
2804,B0N 2H0,business
188,B0J 1J0,business
87,B4V 1T2,business
399,B1P 1E3,business
249,B0M 1P0,business
1406,B4R 1B6,business
15,B3Z 1E4,business
60,B3S 1E2,business
1237,B2V 1N1,business
480,B3S 1P9,business
1555,B3H 3S9,business
9,B4H 2V3,business
176,B0K 1S0,business
2380,B0K 2A0,business
8416,B0N 2M0,business
3514,B3L 4H7,business
139,B2A 3V7,business
15,B3Z 1E4,business
28,B4B 1G7,business
1600,B4A 1E8,business
11,B3P 1N3,business
5447,B3Z 2H9,business
50,B0E 3M0,business
477,B2H 1X1,business
446,B4N 3A1,business
125,B4N 1M5,business
103,B4C 2N1,business
10,B0S 1M0,business
55,B3M 2S6,business
56,B3M 2S8,business
110,B6L 2S5,business
530,B2Y 4V6,business
1094,B6L 4E1,business
264,B2N 2T3,business
92,B4H 3B2,business
3845,B3L 4H9,business
290,B3M 3V3,business
10,B0T 1L0,business
62,B1P 0E1,business
1385,B4E 3A7,business
58,B3S 1E2,business
6583,B3L 1B6,business
17,B2N 4R9,business
2305,B4R 1B4,business
334,B2N 2T7,business
879,B4H 3Y1,business
96,B6L 2S5,business
25,B2A 1Y5,business
83,B2A 2W9,business
500,B1P 3V9,business
125,B1R 1J4,business
7037,B3L 2J1,business
34,B2W 2X3,business
114,B2W 2S7,business
58,B4N 2P9,business
1583,B4G 1C5,business
1040,B4A 1B4,business
358,B3R 1S2,business
2756,B2H 5C6,business
12,B3M 1S5,business
21,B4B 1P3,business
7,B3M 4N7,business
11,B5A 1P6,business
1233,B3J 1Y2,business
169,B2N 1P5,business
650,B3S 0H8,business
14,B2S 1P3,business
65,B4A 0H2,business
94,B3B 0A7,business
194,B2X 2C1,business
3,B3R 1J7,business
29,B0W 1P0,business
83,B0P 1N0,business
5961,B0W 3B0,business
95,B3E 1K2,business
29,B3Z 1H4,business
248,B2T 1C9,business
630,B0P 1R0,business
248,B2T 1C9,business
540,B4A 0C9,business
1378,B4B 1P6,business
1376,B4B 1P6,business
20,B4V 7P8,business
289,B4E 1K1,business
29,B4A 2C3,business
114,B4A 4C5,business
479,B2W 4S1,business
753,B2S 1A8,business
583,B2S 1A4,business
1208,B2S 1T5,business
6117,B3H 2E8,business
77,B1N 2S3,business
106,B5A 4J2,business
15,B0K 1V0,business
54,B0N 2J0,business
864,B1P 1L9,business
52,B2Z 1A2,business
1326,B4A 1C9,business
2236,B3K 2Z9,business
6724,B3L 2R9,business
253,B1N 2H7,business
1969,B3J 3R7,business
402,B2S 2L7,business
5594,B3J 1C2,business
246,B1P 5A4,business
85,B4N 1G8,business
1024,B0J 3A0,business
60,B2N 3K3,business
1559,B1S 1E8,business
166,B3M 2J6,business
20,B0J 1T0,business
30,B4A 0C2,business
86,B3G 1A2,business
19,B0K 1S0,residential
10,B0E 1L0,residential
22,B0M 1X0,residential
10,B1N 1R4,residential
3,B5A 1P3,residential
130,B2N 3X4,residential
3809,B0J 2W0,residential
3792,B3K 3G5,residential
37,B0J 2C0,residential
2,B4B 1J2,residential
123,B0N 2T0,residential
1112,B0H 1H0,residential
115,B0K 1H0,residential
86,B1A 6E1,residential
1,B4C 3H9,residential
3961,B1K 1A6,residential
107,B4V 3J6,residential
10,B0A 1A0,residential
43,BOK 1SO,residential
9,B2N 3Z5,residential
3142,B1H 1N8,residential
235,B1S 3A4,residential
59,B0N 1T0,residential
119,B0E 1N0,residential
12,B0T 1K0,residential
108,B0P 1E0,residential
30,B0W 2M0,residential
41,B5A 1A5,residential
223,B2H 1K7,residential
51,B5A 2M7,residential
1385,B0E 2K0,residential
350,B1P2M9,residential
2884,B0A 1N0,residential
51,B4A 2B9,residential
77,B0W 2Z0,residential
7,B4H 2A6,residential
6,B4H 1L5,residential
144,B3L 4J5,residential
365,B0P 1R0,residential
695,B2H 5W6,residential
10,B0T 1K0,residential
40,B2N 4L4,residential
20,B2W 5C2,residential
26,B0N 2J0,residential
142,B0K 1S0,residential
14043,BOP 1PO,residential
393,B0E 2V0,residential
871,BOP 1J0,residential
1714,BOK 2AO,residential
35,B0J 2E0,residential
1090,BOP 1CO,residential
1249,1N7,residential
250,B1N 2T1,residential
3,B5A 1Z7,residential
2,B0K 1X0,residential
46,B2N 4L4,residential
50,B1R 1J1,residential
21,B0E 2L0,residential
105,B0M 1S0,residential
95,B0S 1A0,residential
19,B1N 3E8,residential
669,B1H 4G5,residential
100,B0M 1P0,residential
129,B0S 1C0,residential
20,B2G 1W5,residential
1696,B0K 2A0,residential
55,B2Y 4G4,residential
1688,B0K 2A0,residential
41,B2T 1K5,residential
9040,B0N 2C0,residential
55,B4N 2B6,residential
55,B4N 2B6,residential
119,B0J 2C0,residential
77,B0M 1S0,residential
1419,B4H 3Y4,residential
20,B1P 6R1,residential
16,B3A 3B7,residential
87,B0N 2T0,residential
9,B2A 1A2,residential
1,B2Y 4A7,residential
664,B0N 1Z0,residential
16,B0S 1M0,residential
22,B1P 6R1,residential
32,B0A 1V0,residential
27,B3E 1H9,residential
1,B0M 1X0,residential
1130,B0E 1N0,residential
20,B0M 1X0,residential
6,B0K 1Y0,residential
8,B2Y 4K1,residential
28,B0N 1X0,residential
1,B0M 1X0,residential
27,B0E 1A0,residential
49,B0M 1L0,residential
312,B1P 6P4,residential
3309,B0E 1K0,residential
57,B2G 2H3,residential
763,B1H 4S9,residential
1,B5A 2W2,residential
70,B0N 2T0,residential
35,1X0,residential
1935,B3G 1J2,residential
27,B1S 2R9,residential
160,B1S 2V7,residential
20,B5A 4A6,residential
2512,B0K 1H0,residential
48,B0N 2H0,residential
97,B0S 1A0,residential
345,B2H 3V7,residential
29,B0K 1H0,residential
22,B0K 1S0,residential
50,B1V 3G1,residential
18,B2W 5C2,residential
23,B2N 5A9,residential
48,B0V 1A0,residential
55,B4N 2B6,residential
3,B1A 4A8,residential
64,B2N 4L4,residential
108,B0V 1A0,residential
144,B4H 1Y1,residential
1525,B0K 1G0,residential
235,B2H 3S9,residential
30,B2N 4K6,residential
881,BOP 1R0,residential
169,B0P 1E0,residential
8394,B0W 2J0,residential
10074,B0E 3B0,residential
12484,B0H 1P0,residential
5515,B3H 4J9,residential
1052,B4N 3J5,residential
20,B0K 1N0,residential
11,BOP 1PO,residential
79,B3A 4W6,residential
350,B2N 1L3,residential
29,B0A 1E0,residential
19,B0E 1N0,residential
125,B0W 3P0,residential
27,B0A 1T0,residential
16,B2W 5C2,residential
221,B2H 1K7,residential
170,B0K1V0,residential
370,B2N 1L3,residential
1023,BOP 1HO,residential
143,B0P 1E0,residential
15,B2G 1W4,residential
48,B4H 2A7,residential
453,B9A 2K1,residential
45,B2Y 4M7,residential
146,B0N 2T0,residential
10076,B0E 3B0,residential
51,B0M 1S0,residential
76,B1H 4Z6,residential
22,B2W 5C2,residential
28,B0E 1S0,residential
71,B0T 1L0,residential
30,B0A 1E0,residential
20,B4H 3M5,residential
1602,B0T 1W0,residential
118,B0M 1S0,residential
55,B4N 2B6,residential
48,B0K 1H0,residential
86,B1A 6E1,residential
5600,B0M 1B0,residential
6,B3P 2M8,residential
3340,B3K 5T4,residential
41,B2N 4S1,residential
37,B0A 1A0,residential
955,B2P 6R6,residential
61,B4V 3N8,residential
365,BOP 1RO,residential
115,B0K 1H0,residential
326,B0T 1P0,residential
55,B4N 2B6,residential
192,B0S 1C0,residential
16,B0E 1P0,residential
103,B3M 1A8,residential
346,B2H 5J7,residential
2,B5A 1Z9,residential
23,B0E 2W0,residential
16,B0P 1X0,residential
19,B0J 2L0,residential
2,B5A 4K7,residential
5008,B0M 1P0,residential
235,B2H 3S9,residential
1700,B0L 1G0,residential
25,B2G 1W4,residential
1,B2W 3Y5,residential
19,B0E 1N0,residential
110,B0P 1L0,residential
21,B0E 2W0,residential
116,B0W 3T0,residential
12,B0K 1H0,residential
43,B0W 1X0,residential
1692,B0K 2A0,residential
5,B0A 1M0,residential
11,B4V 3B4,residential
39,B0J 1H0,residential
1108,B0S 1E0,residential
51,B0V 1A0,residential
43,BOK 1S0,residential
450,BOH 1SO,residential
3,B4H 4G4,residential
32,B0V 1B0,residential
43,B0K 1S0,residential
12,B0N 2S0,residential
36,B3G 1A1,residential
1061,B4N 3J5,residential
430,B0E 1V0,residential
227,B2H 3S9,residential
142,B0K 1S0,residential
621,BON 1C0,residential
21,B0E 1N0,residential
28,B0R 1E0,residential
11,B0E 1N0,residential
466,B0P 1R0,residential
55,B4N 2B6,residential
14,B0J 3M0,residential
72,B0N 2T0,residential
73,BON 2T0,residential
169,B0L 1A0,residential
5565,B3K 5K9,residential
179,B0K 1W0,residential
87,B0V 1A0,residential
30,B1S 3B5,residential
22,B0M 1X0,residential
364,B2H 3N8,residential
138,B0V 1A0,residential
1089,B0M 1G0,residential
245,B1H2Z9,residential
557,B1H 4C2,residential
1126,B0S 1B0,residential
59,B4V 3T8,residential
9,B3Z 1H3,residential
55,B4N 2B6,residential
138,B2G 1Y1,residential
2,B4H 3L5,residential
3474,B0W 1G0,residential
14,B3A 3B7,residential
5594,B3K 4B1,residential
135,B0M 1S0,residential
109,B5A 3B6,residential
31,B0E 1X0,residential
8652,B0E 2X0,residential
1722,B0W 1M0,residential
3450,B3K 5R5,residential
2406,B3K 3C1,residential
56,B0W 3M0,residential
17,B0K 1X0,residential
3,B3M 4P8,residential
11,B5A 4C7,residential
491,B1P 6R4,residential
861,B0H 1V0,residential
21,B0E 1H0,residential
8240,B2H 5C4,residential
1,B0J 1T0,residential
130,B1P 6N2,residential
4872,B0W 2Y0,residential
1700,B0L 1G0,residential
51,B4E 1V4,residential
20,B4C 3E7,residential
268,B0A 1E0,residential
81,B4H 1C7,residential
2,B1A 5S1,residential
747,B1H4S9,residential
14,B0J 3B0,residential
98,B0E 1N0,residential
6841,B30 2J9,residential
19,B0K 1L0,residential
56,BOH 1NO,residential
1746,B3T 1M8,residential
46,B1A 3X5,residential
33,B0J 2E0,residential
34,BOJ 2M0,residential
1054,BOP 1TO,residential
3331,B1H 4S9,residential
807,BOK ICO,residential
15,B0T 1B0,residential
487,B1P 6R4,residential
166,B3P 2N8,residential
55,B1A 6E4,residential
16,B0M 1X0,residential
6127,BOK 1SO,residential
64,B4H 3K4,residential
1186,B3H 4K9,residential
116,B0T 1K0,residential
26,B1P 6R1,residential
7001,B3L 4R4,residential
28,B0W 1P0,residential
6026,B0K 1X0,residential
28,BOP 1XO,residential
232,B0T 1W0,residential
3093,B5A 4A5,residential
