FACILITY_IDENTIFIER,FACILITY_NAME,FACILITY_TYPE,COUNTY,PHONE 1,PHONE 2,EMAIL 1,EMAIL 2,TOTAL_LICENCE_CAPACITY,ANNUAL_INSPECTION,ANNUAL_UNANNOUNCED_INSPECTION,PROBATIONARY_EXPIRY_DATE,AGE_RANGE,PROG_FULL_DAY,PROG_PART_DAY,PROG_SCHOOL_AGE,FAMILY_HOME,AGE_INFANT,AGE_TODDLER,AGE_PRESCHOOL,AGE_SCHOOL_AGE,ADDRESS,CITY,POSTAL,Location
2897903,Duck Duck Goose Children's Centre Limited (Mount Edward),Day Care Facility,Halifax County,902-462-2824,,kristamkchapman@hotmail.com,,18,"August 29, 2018","June 24, 2019",,18 months - 6 years,Yes,No,No,No,No,Yes,Yes,No,49 MOUNT EDWARD RD.,DARTMOUTH,B2W 3K5,"49 MOUNT EDWARD RD.
DARTMOUTH, NS B2W 3K5
(44.68166, -63.521713)"
2898598,Love Your Child Infant & Children's Centre,Day Care Facility,Kings County,902-538-8700,,wendycarty@xcountry.tv,,48,"May 13, 2019","December 17, 2018",,3 months - 12 years,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6146 HIGHWAY 1 HWY.,CAMBRIDGE,B0P 1G0,
2898957,Town Daycare Centre,Day Care Facility,Cape Breton County,902-849-6086,,towndaycare@gmail.com,,94,"August 1, 2018","February 21, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,15 SECOND ST.,GLACE BAY,B1A 4E7,"15 SECOND ST.
GLACE BAY, NS B1A 4E7
(46.211249, -59.963213)"
2900172,Edward Jost Children's Centre,Day Care Facility,Halifax County,902-477-9324,,kellya@edwardjostchildrenscentre.ca,,54,"July 18, 2019","February 19, 2019",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,7 MONT ST.,HALIFAX,B3P 1N3,"7 MONT ST.
HALIFAX, NS B3P 1N3
(44.623101, -63.619124)"
2900500,Garderie le Petit Voilier de Bois-Joli (Le),Day Care Facility,Halifax County,902-435-1332,,info@petitvoilier.ca,,140,"January 15, 2019","July 26, 2018",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,211 AVENUE DU PORTAGE,DARTMOUTH,B2X 3T4,"211 AVENUE DU PORTAGE
DARTMOUTH, NS B2X 3T4
(44.707058, -63.53125)"
2900508,Garderie le Petit Voilier (Le) (Carrefour & Pavillon),Day Care Facility,Halifax County,902-435-1332,,info@petitvoilier.ca,,102,"January 8, 2019","July 31, 2018",,3 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,201 AVENUE DU PORTAGE,DARTMOUTH,B2X 3T4,"201 AVENUE DU PORTAGE
DARTMOUTH, NS B2X 3T4
(44.704472, -63.531924)"
2900918,Tiny Town Daycare & Preschool,Day Care Facility,Cape Breton County,902-562-2127,,,,34,"August 14, 2018","February 20, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,54 MOUNT FLORENCE ST.,COXHEATH,B1R 1T8,"54 MOUNT FLORENCE ST.
COXHEATH, NS B1R 1T8
(46.112503, -60.235294)"
2901568,YMCA of Cape Breton Early Learning Centre (After School Program),Day Care Facility,Cape Breton County,902-562-9622 ext: 2223,,kmacphee@cbymca.com,,28,"September 25, 2018","April 12, 2019",,4 years - 12 years,No,No,Yes,No,No,No,No,Yes,153 COTTAGE RD.,SYDNEY,B1P 2E5,"153 COTTAGE RD.
SYDNEY, NS B1P 2E5
(46.129999, -60.181923)"
2901608,Gaspereau After School Program Society,Day Care Facility,Kings County,902-542-6090,,richarjl@nspes.ca,,30,"September 24, 2018","April 29, 2019",,4 years - 12 years,No,No,Yes,No,No,No,No,Yes,2781 GREENFIELD RD.,GASPEREAU,B4P 2R1,"2781 GREENFIELD RD.
GASPEREAU, NS B4P 2R1
(45.063463, -64.351705)"
2901634,Garderie Le Petit Voilier (Centre du Grand-Portage),Day Care Facility,Halifax County,902-865-6263,,,,62,"November 6, 2018","May 28, 2018",,3 years - 12 years,Yes,No,Yes,No,No,No,Yes,Yes,100 STOKIL DR.,LOWER SACKVILLE,B4C 2G5,"100 STOKIL DR.
LOWER SACKVILLE, NS B4C 2G5
(44.783944, -63.68267)"
2901833,Orchards Away Day Care Centre,Day Care Facility,Kings County,902-538-7790,,nanny_carol_allen@msn.com,,42,"May 29, 2019","January 25, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,243 COMMERCIAL ST.,BERWICK,B0P 1E0,"243 COMMERCIAL ST.
BERWICK, NS B0P 1E0
(45.047388, -64.736835)"
2902940,"Halifax Independent Elementary School ""Littles Program""",Day Care Facility,Halifax County,902-423-9777,,admin@halifaxindependentschool.ns.ca,,32,"September 28, 2018","May 8, 2018",,3 years - 5 years,Yes,No,No,No,No,No,Yes,No,3331 CONNAUGHT AVE.,HALIFAX,B3L 3B4,"3331 CONNAUGHT AVE.
HALIFAX, NS B3L 3B4
(44.655701, -63.617403)"
2903117,Jewels & Gems Day Care Centre,Day Care Facility,Cape Breton County,902-849-1989,,jewelsngemsdaycare@gmail.com,,68,"May 27, 2019","December 3, 2018",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,12 MARION ST.,GLACE BAY,B1K 1E3,"12 MARION ST.
GLACE BAY, NS B1K 1E3
(46.187644, -59.966678)"
2903670,Dr. Jane Norman Child Study Centre,Day Care Facility,Colchester County,902-893-3342,,kim.elliott@janenorman.ca,,22,"September 12, 2018","May 9, 2019",,2 years - 5 years,Yes,No,No,No,No,Yes,Yes,No,60 LORNE ST.,TRURO,B2N 3K3,"60 LORNE ST.
TRURO, NS B2N 3K3
(45.367908, -63.279615)"
2903880,Mrs. Dee's Afterschool Program,Day Care Facility,Kings County,902-678-5607,,lornedenney2@hotmail.com,,30,"September 27, 2018","April 3, 2019",,4 years - 12 years,No,No,Yes,No,No,No,No,Yes,34 JONES RD.,NEW MINAS,B4N 3N1,"34 JONES RD.
NEW MINAS, NS B4N 3N1
(45.068742, -64.44999)"
2904025,ABC Nursery School,Day Care Facility,Kings County,902-678-6901,,abcnurseryschool@eastlink.ca,,18,"September 27, 2018","March 14, 2019",,30 months - 6 years,No,Yes,No,No,No,Yes,Yes,Yes,990 SCOTT DR.,KENTVILLE,B4N 4B1,"990 SCOTT DR.
KENTVILLE, NS B4N 4B1
(45.092721, -64.485032)"
2904342,Happy Hollow PreSchool,Day Care Facility,Halifax County,902-455-8268,,happyhollow@eastlink.ca,,34,"October 10, 2018","May 29, 2018",,3 months - 5 years,Yes,No,No,No,Yes,Yes,Yes,No,5508 HENNESSEY PL.,HALIFAX,B3K 2A8,"5508 HENNESSEY PL.
HALIFAX, NS B3K 2A8
(44.662734, -63.599471)"
2905080,Wee Care Developmental Centre - Veith House Location,Day Care Facility,Halifax County,902-455-1081,,dawn@weecareforkids.ca,,14,"August 16, 2018","May 17, 2019",,3 years - 5 years,Yes,No,No,No,No,No,Yes,No,3115 VEITH ST.,HALIFAX,B3K 3G9,"3115 VEITH ST.
HALIFAX, NS B3K 3G9
(44.664684, -63.595749)"
2905129,Wee Care Developmental Centre,Day Care Facility,Halifax County,902-455-1081,,dawn@weecareforkids.ca,,58,"August 16, 2018","May 17, 2019",,4 months - 6 years,Yes,No,No,No,Yes,Yes,Yes,No,5217 YOUNG ST.,HALIFAX,B3K 6A6,"5217 YOUNG ST.
HALIFAX, NS B3K 6A6
(44.664734, -63.595074)"
2905134,Ready Set Learn Preschool,Day Care Facility,Shelburne County,"902-635-1719 - cell, 902-637-1689 - center",,rosela1@me.com,,12,"October 15, 2018","April 17, 2019",,2 years - 5 years,No,Yes,No,No,No,Yes,Yes,No,3437 HIGHWAY 3 HWY.,BARRINGTON PASSAGE,B0W 1G0,
2905150,Wolfville Children's Centre School Age Program,Day Care Facility,Kings County,902-542-5087,,wolfville.childrencentre@ns.aliantzinc.ca,,21,"September 20, 2018","April 30, 2019",,4 years - 12 years,No,No,Yes,No,No,No,No,Yes,30 HIGHLAND AVE.,WOLFVILLE,B4P 1Y7,"30 HIGHLAND AVE.
WOLFVILLE, NS B4P 1Y7
(45.088663, -64.363715)"
2905774,La garderie des petites étoiles,Day Care Facility,Richmond County,"902-226-0058, 902-226-2481",,rceceadaycare@hotmail.com,,60,"November 13, 2018","May 22, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,2359 HIGHWAY 206 HWY.,ARICHAT,B0E 1A0,
2905802,Tallahassee Preschool / After School,Day Care Facility,Halifax County,902-222-7554,,tallahasseedaycare@outlook.com,,126,"October 11, 2018","July 10, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,168 REDOUBT WAY,EASTERN PASSAGE,B3G 1E4,"168 REDOUBT WAY
EASTERN PASSAGE, NS B3G 1E4
(44.608116, -63.478916)"
2905805,Bible Hill Village Pre-School Society,Day Care Facility,Colchester County,902-893-8062,,,,17,"September 19, 2018","April 29, 2019",,3 years - 5 years,No,Yes,No,No,No,No,Yes,No,151 PICTOU RD.,BIBLE HILL,B2N 2S7,"151 PICTOU RD.
BIBLE HILL, NS B2N 2S7
(45.376996, -63.254692)"
2906364,Needham Pre-School & Day Care,Day Care Facility,Halifax County,902-490-4638,,needhamdaycare@ns.aliantzinc.ca,,61,"September 12, 2018","March 6, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,3372 DEVONSHIRE AVE.,HALIFAX,B3K 3M2,"3372 DEVONSHIRE AVE.
HALIFAX, NS B3K 3M2
(44.667292, -63.602425)"
2907173,Playschool Day Care Centre,Day Care Facility,Cape Breton County,902-862-6672,,playschool@ns.aliantzinc.ca,,74,"September 20, 2018","February 26, 2019",,18 Months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,3736 CONNORS AVE.,NEW WATERFORD,B1H 4W6,"3736 CONNORS AVE.
NEW WATERFORD, NS B1H 4W6
(46.253456, -60.099296)"
2907177,Strait Area Educational Recreational Centre,Day Care Facility,Inverness County,902-625-3637,,jan.macdowell@gmail.com,,42,"August 20, 2018","March 7, 2019",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,304 PITT ST.,PORT HAWKESBURY,B9A 2T9,"304 PITT ST.
PORT HAWKESBURY, NS B9A 2T9
(45.617771, -61.354965)"
2907184,Day Dreams Childcare Centre Inc.,Day Care Facility,Halifax County,902-835-5437,,daydreams@ns.sympatico.ca,,104,"August 21, 2018","February 21, 2019",,8 months - 11 years,Yes,No,No,No,Yes,Yes,Yes,No,34 BLUEWATER RD.,BEDFORD,B4B 1G7,"34 BLUEWATER RD.
BEDFORD, NS B4B 1G7
(44.725541, -63.707735)"
2907186,My World of Learning Child Care Association,Day Care Facility,Colchester County,902-897-0486,,myworldoflearningcc@gmail.com,,40,"October 17, 2018","May 27, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,36 ARTHUR ST.,TRURO,B2N 1X5,"36 ARTHUR ST.
TRURO, NS B2N 1X5
(45.360527, -63.28791)"
2907193,Maritime Muslim Academy Preschool,Day Care Facility,Halifax County,902-429-9067 ext: 204,,preschooldirector@maritimemuslimacademy.ca,,64,"September 26, 2018","February 23, 2018",,3 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,6225 CHEBUCTO RD.,HALIFAX,B3L 1K7,"6225 CHEBUCTO RD.
HALIFAX, NS B3L 1K7
(44.649697, -63.598466)"
2907648,"Love, Laughter and Learning Centre (The)",Day Care Facility,Colchester County,902-662-3210,,,,40,"October 10, 2018","May 22, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,11265 HIGHWAY 2 HWY. 1,MASSTOWN,B0M 1G0,"11265 HIGHWAY 2 HWY. 1
MASSTOWN, NS B0M 1G0
(45.381667, -63.459947)"
2907701,Ponderosa Play and Learn Children's Centre Ltd,Day Care Facility,Antigonish County,902-863-4975,,effievincent@yahoo.com,,39,"July 29, 2019","February 28, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,15 PONDEROSA DR.,ANTIGONISH,B2G 2R4,"15 PONDEROSA DR.
ANTIGONISH, NS B2G 2R4
(45.609605, -61.998283)"
2908563,Horton High Child Care Centre,Day Care Facility,Kings County,902-542-4388,,hortonhighdaycare@gmail.com,,10,"May 13, 2019","November 6, 2018",,3 months - 5 years,Yes,No,No,No,Yes,Yes,Yes,No,75 GREENWICH RD. S,WOLFVILLE RIDGE,B4P 2R2,"75 GREENWICH RD. S
WOLFVILLE RIDGE, NS B4P 2R2
(45.071491, -64.401148)"
2908566,Mi'kmaq Child Developmental Centre,Day Care Facility,Halifax County,902-422-7850,,dbmjfrizzell@ns.aliantzinc.ca,,26,"June 19, 2019","November 19, 2018",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,2151 GOTTINGEN ST.,HALIFAX,B3K 3B5,"2151 GOTTINGEN ST.
HALIFAX, NS B3K 3B5
(44.652418, -63.583985)"
2908875,Leeds Street Child Care Centre,Day Care Facility,Halifax County,902-491-4622,,joelle.rowlings@nscc.ca,,43,"May 22, 2019","April 2, 2019",,3 months - 5 years,Yes,No,No,No,Yes,Yes,Yes,No,5685 LEEDS ST.,HALIFAX,B3J 3C4,"5685 LEEDS ST.
HALIFAX, NS B3J 3C4
(44.668857, -63.612922)"
2909256,Berwick & District Nursery School,Day Care Facility,Kings County,902-538-9680,,berwickpreschool@eastlink.ca,,24,"May 2, 2019","November 14, 2018",,30 months - 5 years,No,Yes,No,No,No,Yes,Yes,No,155 ORCHARD ST.,BERWICK,B0P 1E0,"155 ORCHARD ST.
BERWICK, NS B0P 1E0
(45.036178, -64.741455)"
2909262,Lil' Jems Family Home Day Care Agency,Family Home Day Care Agency,Yarmouth County,902-749-8722,,liljems@hotmail.com,,,"September 7, 2018","March 14, 2019",,,No,No,No,Yes,No,No,No,No,1040 LAKESIDE RD.,MILTON HIGHLANDS,B5A 5K1,"1040 LAKESIDE RD.
MILTON HIGHLANDS, NS B5A 5K1
(43.856678, -66.123953)"
2911803,First Lake Early Learning Centre Society,Day Care Facility,Halifax County,902-864-3105,,sbdc@bellaliant.com,,36,"December 19, 2018","June 28, 2018",,18 months - 6 years,Yes,No,No,No,No,Yes,Yes,No,71 FIRST LAKE DR.,LOWER SACKVILLE,B4C 3J1,"71 FIRST LAKE DR.
LOWER SACKVILLE, NS B4C 3J1
(44.777394, -63.672365)"
2913249,Prospect Bay Children's Centre,Day Care Facility,Halifax County,902-852-2954,,prospectbaychildrenscentre@gmail.com,,66,"October 19, 2018","March 19, 2019",,4 months - 12 years,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,31 PINEDALE DR.,PROSPECT BAY,B3T 1Z6,"31 PINEDALE DR.
PROSPECT BAY, NS B3T 1Z6
(44.513761, -63.780096)"
2913256,Creative Kids Education Centre Inc. (Preschool & After-School),Day Care Facility,Halifax County,902-832-5437,,creativekids@accesswave.ca,,100,"October 24, 2018","June 4, 2019",,30 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,109 WHITE HILLS RUN,HAMMONDS PLAINS,B4B 1W6,"109 WHITE HILLS RUN
HAMMONDS PLAINS, NS B4B 1W6
(44.747563, -63.805551)"
2914164,New Ross Preschool,Day Care Facility,Lunenburg County,902-689-2414,,nrfrcnewross@hotmail.com,,12,"November 29, 2018","September 19, 2018",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,4689 HIGHWAY 12 HWY.,NEW ROSS,B0J 2M0,
2914177,Nova Scotia Community College - Cumberland Campus,Day Care Facility,Cumberland County,902-597-4512,,Karen.stone@nscc.ca,,49,"September 27, 2018","May 16, 2019",,3 months - 12 years,Yes,No,No,No,Yes,Yes,Yes,No,1 MAIN ST.,SPRINGHILL,B0M 1X0,"1 MAIN ST.
SPRINGHILL, NS B0M 1X0
(45.646781, -64.062309)"
2914201,Microtots Preschool,Day Care Facility,Pictou County,902-755-2769,,jrehill@eastlink.ca,,12,"October 19, 2018","June 5, 2019",,2 years - 5 years,No,Yes,No,No,No,Yes,Yes,No,539 MARTIN AVE.,NEW GLASGOW,B2H 1R8,"539 MARTIN AVE.
NEW GLASGOW, NS B2H 1R8
(45.598389, -62.660712)"
2915012,Children's Corner Day Care Centre (2 Circassion),Day Care Facility,Halifax County,"902-462-7200, 902-462-1185 - Circassion",,,,41,"October 2, 2018","June 5, 2019",,2 years - 12 years,No,Yes,Yes,No,No,Yes,Yes,Yes,2 CIRCASSION DR.,COLE HARBOUR,B2W 5C2,"2 CIRCASSION DR.
COLE HARBOUR, NS B2W 5C2
(44.676616, -63.492481)"
2915013,Wiggles & Giggles Daycare/Preschool,Day Care Facility,Cape Breton County,"902-539-6717 - cell, 902-577-7668",,wiggles-gigglesdaycare@hotmail.com,,28,"October 4, 2018","April 11, 2019",,3 months - 5 years,Yes,No,No,No,Yes,Yes,Yes,No,42 GLENDA CRES.,SYDNEY,B1S 2M5,"42 GLENDA CRES.
SYDNEY, NS B1S 2M5
(46.114205, -60.196277)"
2915023,Forest Hills Child's Place,Day Care Facility,Halifax County,902-434-2463,,wendykerr@accesswave.ca,,14,"September 28, 2018","April 9, 2018",,30 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,177 POPLAR DR.,DARTMOUTH,B2W 4K6,"177 POPLAR DR.
DARTMOUTH, NS B2W 4K6
(44.678815, -63.500094)"
2915044,Small World Learning Centre (York St.),Day Care Facility,Lunenburg County,902-543-7343,,smallworld@ns.aliantzinc.ca; swad@ns.aliantzinc.ca,,90,"September 28, 2018","March 28, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,352 YORK ST.,BRIDGEWATER,B4V 0B4,"352 YORK ST.
BRIDGEWATER, NS B4V 0B4
(44.382132, -64.532785)"
2916002,Kinsmen Day Care Centre,Day Care Facility,Cape Breton County,902-736-3345,,kinsmendaycare@ns.sympatico.ca,,50,"October 3, 2018","April 4, 2019",,18 months - 6 years,Yes,No,No,No,No,Yes,Yes,No,629 VILLA DR.,LITTLE BRAS D'OR,B1Y 2Z3,"629 VILLA DR.
LITTLE BRAS D'OR, NS B1Y 2Z3
(46.236547, -60.26521)"
2916006,Happy Tots Preschool & Nursery,Day Care Facility,Halifax County,902-443-4831,,happytots@eastlink.ca,,63,"October 24, 2018","March 28, 2019",,3 months - 10 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,89 GORDON AVE.,HALIFAX,B3M 2X5,"89 GORDON AVE.
HALIFAX, NS B3M 2X5
(44.657901, -63.642184)"
2916670,It Takes A Village Inc. Preschool,Day Care Facility,Halifax County,902-405-8336,,ittakesavillage@live.ca,,51,"October 9, 2018","March 22, 2019",,2.5 years - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,480 PARKLAND DR. UNIT 14,HALIFAX,B3S 1P9,"480 PARKLAND DR. UNIT 14
HALIFAX, NS B3S 1P9
(44.671066, -63.675992)"
2917958,Bye the Sea Nursery School,Day Care Facility,Lunenburg County,902-634-4789,,ldcc@ns.sympatico.ca,,12,"October 17, 2018","May 3, 2019",,30 months - 5 years,No,Yes,No,No,No,Yes,Yes,No,26 LINCOLN ST.,LUNENBURG,B0J 2C0,"26 LINCOLN ST.
LUNENBURG, NS B0J 2C0
(44.378438, -64.316385)"
2917970,Wee Folk Centre Inc.,Day Care Facility,Kings County,902-765-8993,,weefolkcentre@gmail.com,,63,"October 2, 2018","May 6, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,904 CENTRAL AVE.,GREENWOOD,B0P 1N0,"904 CENTRAL AVE.
GREENWOOD, NS B0P 1N0
(44.969449, -64.931117)"
2965905,St. Joseph's Children's Centre (Monastery),Day Care Facility,Halifax County,902-422-8441 ext: 155,,sjollimore@stjcc.ca,,42,"October 12, 2018","June 4, 2019",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,2155 MONASTERY LANE,HALIFAX,B3L 4P9,"2155 MONASTERY LANE
HALIFAX, NS B3L 4P9
(44.646275, -63.59726)"
2965918,Sunnybrae After School Program #2,Day Care Facility,Halifax County,902-445-2270,,jodismagicbeings@hotmail.com,,14,"October 23, 2018","April 16, 2019",,Pre-primary - 12 years,No,No,Yes,No,No,No,No,Yes,69 SUNNYBRAE AVE.,HALIFAX,B3N 2G6,"69 SUNNYBRAE AVE.
HALIFAX, NS B3N 2G6
(44.650793, -63.638638)"
2965924,Kids 'R' Kids Day Care Inc.,Day Care Facility,Halifax County,902-450-5437,,sayhello@kidsrkids.ca,,106,"October 26, 2018","April 9, 2019",,3 months - 9 years,Yes,No,No,No,Yes,Yes,Yes,No,18 OLAND CRES.,HALIFAX,B3S 1C6,"18 OLAND CRES.
HALIFAX, NS B3S 1C6
(44.647356, -63.6764)"
2965936,Shearwater Children's Centre,Day Care Facility,Halifax County,902-720-2004,,stefanie.hazelden@forces.gc.ca,,161,"October 23, 2018","July 11, 2019",,3 months - 12 years,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,30 PROVIDER RD.,SHEARWATER,B0J 3A0,
2965939,Project ELM Pre-school (Middle Musquodoboit),Day Care Facility,Halifax County,,,mvfrc1@gmail.com,,13,"November 14, 2018","May 14, 2019",,3 years - 5 years,No,Yes,No,No,No,No,Yes,No,12014 HIGHWAY 224 HWY.,MIDDLE MUSQUODOBOIT,B0N 1X0,
2966347,Windsor Day Care Centre,Day Care Facility,Hants County,902-798-2001,,info@windsordaycare.ca,,80,"November 28, 2018","June 21, 2018",,6 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,236 VICTORIA ST.,WINDSOR,B0N 2T0,"236 VICTORIA ST.
WINDSOR, NS B0N 2T0
(44.991511, -64.137146)"
2966399,North End Community Day Care Centre,Day Care Facility,Halifax County,902-455-5494,,nedc@bellaliant.com,,78,"August 28, 2018","March 14, 2018",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,5540 RUSSELL ST.,HALIFAX,B3K 1X2,"5540 RUSSELL ST.
HALIFAX, NS B3K 1X2
(44.660899, -63.598013)"
2967751,Stepping Stone Preschool and Childcare Centre,Day Care Facility,Kings County,902-847-0310,,m.j.thomas26@icloud.com,,28,"October 24, 2018","May 28, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,1733 HIGHWAY 1 HWY.,AUBURN,B0P 1R0,
2967782,Windsor Nursery School,Day Care Facility,Hants County,902-798-3280,,windsornurseryschool16@gmail.com,,20,"December 6, 2018","June 12, 2019",,3 years - 6 years,No,Yes,No,No,No,No,Yes,No,122 COTTAGE ST.,WINDSOR,B0N 2T0,"122 COTTAGE ST.
WINDSOR, NS B0N 2T0
(44.980281, -64.126525)"
