Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Non-Profit(N)/For-Profit(P),Type
2300835,CHIGNECTO MANOR CO-OPERATIVE LTD.,1993,BOX 63,ADVOCATE HARBOUR,NS,B0M 1A0,P,SERVICES
2265467,CITY MARKET OF HALIFAX CO-OPERATIVE LTD.,1993,1209 MARGINAL ROAD,HALIFAX,NS,B3H 4P8,P,AGRICULTURE
3055993,CLIFTON ACRES INVESTMENT COOPERATIVE LIMITED,2001,"C/O JOHN KENNEDY, LIQUIDATOR, 109 ICE POND DRIVE",TRURO,NS,B2N 6P6,P,INVESTMENT
3261409,CMEC ALUMNI & STUDENT CO-OP LTD.,2012,"SAINT MARY'S UNIVERSITY, 
923 ROBIE STREET",HALIFAX,NS,B3H 3C3,N,SERVICES
3079039,COASTAL COMMUNITY RADIO CO-OPERATIVE LIMITED,2003,106 RESERVE STREET,GLACE BAY,NS,B1A 4W5,N,SERVICES
3224641,COASTAL GROWTH MANAGEMENT CO-OPERATIVE LIMITED,2007,2499 KINGS ROAD,SYDNEY,NS,B1L 1A1,P,FOREST PRODUCTS
2424946,COBEQUID MAPLE CO-OPERATIVE LIMITED,1995,12 VALLEY ROAD,WESTCHESTER STATION,NS,B0M 2A0,P,AGRICULTURE
1351121,COLCHESTER CO-OPERATIVE SERVICES LIMITED,1956,339 WILLOW ST,TRURO,NS,B2N 5A6,P,RETAIL CONSUMER PRODUCTS
3012648,COLCHESTER TRANSPORTATION COOPERATIVE LTD.,1997,"14 COURT STREET, SUITE 103",TRURO,NS,B2N 3H7,N,SERVICES
3298899,COMPASS NOVA SCOTIA CO-OPERATIVE HOMES LTD.,2016,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK, 57 INGLIS PLACE, #207",TRURO,NS,B2N 4B5,N,HOUSING
3217793,CONNECTING PEOPLE FOR HEALTH CO-OPERATIVE LIMITED,2007,PO BOX 1872,TRURO,NS,B2N 6C7,P,SERVICES
3075199,COOPÉRATIVE RADIO-HALIFAX-MÉTRO LIMITÉE,2003,5527 COGSWELL STREET,HALIFAX,NS,B3J 1R2,N,SERVICES
3102967,CRAB QUOTA CO-OPERATIVE LTD.,2005,272 HALF ISLAND COVE RD.,GUYSBOROUGH,NS,B0H 1N0,P,FISH PRODUCTS
1386350,CRANBERRY LAKE HOUSING CO-OPERATIVE LIMITED,1982,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
1351565,CROSS ROADS BLUEBERRY CO-OPERATIVE LIMITED,1955,P.O. BOX 645,PARRSBORO,NS,B0M 1S0,P,AGRICULTURE
1351581,CROSS ROADS CO-OPERATIVE LIMITED,1945,P.O. BOX 340,PARRSBORO,NS,B0M 1S0,P,RETAIL CONSUMER PRODUCTS
3071165,CRYSTAL GRANGE HOUSING CO-OPERATIVE LIMITED,2002,PO BOX 544,BRIDGEWATER,NS,B4V 2X6,N,HOUSING
3311253,CT PURCHASING CO-OPERATIVE LIMITED,2017,PO BOX 997,HALIFAX,NS,B3J 2X2,P,AGRICULTURE
3293305,CUMBERLAND COUNTY SALT HAULERS CO-OPERATIVE LIMITED,2015,"1821 BECKWITH ROAD, RR#1",OXFORD,NS,B0M 1P0,P,WORKER LABOUR
3018217,CURL UP & DYE CO-OPERATIVE LIMITED,1998,274 COMMERCIAL STREET,NORTH SYDNEY,NS,B2A 1B8,P,WORKER LABOUR
1351618,DE LA TOUR CO-OPERATIVE SOCIETY LIMITED,1944,P.O. BOX 130,LOWER WEST PUBNICO,NS,B0W 2C0,P,RETAIL CONSUMER PRODUCTS
1351634,DEAN PRODUCE CO-OPERATIVE LIMITED,1967,930 DEAN BACK ROAD,UPPER MUSQUODOBOIT,NS,B0N 2M0,P,AGRICULTURE
3083726,DEEP ROOTS MUSIC CO-OPERATIVE LIMITED,2003,466A MAIN STREET,WOLFVILLE,NS,B4P 1E2,N,WORKER LABOUR
1351663,DIGBY CO-OPERATIVE PASTURE LIMITED,1965,"3087 RIDGE ROAD, RR #2",DIGBY,NS,B0V 1A0,P,SERVICES
3252678,DMV THEATRE CO-OP LTD.,2011,14 NICKERSON ROAD,EAST PENNANT,NS,B3V 1L9,N,SERVICES
1876619,DUNBRACK HOUSING CO-OPERATIVE LIMITED,1988,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
3270113,EARRAS CO-OPERATIVE OF MABOU LTD.,2013,PO BOX 262,MABOU,NS,B0E 1X0,N,SERVICES
3279775,EASTERN SHORE COOPERATOR PUBLICATIONS COOPERATIVE LIMITED,2014,11 EAST PETPESWICK ROAD,MUSQUODOBOIT HARBOUR,NS,B0J 2L0,N,CRAFT PRODUCTS
3094888,EDUNOVA CO-OPERATIVE LIMITED,2004,300-1533 BARRINGTON STREET,HALIFAX,NS,B3J 1Z4,N,WORKER LABOUR
3230550,EVANGELINE ARTISTS' COOPERATIVE LTD.,2008,185 WEST LONG ISLAND ROAD,GRAND PRÉ,NS,B0P 1M0,N,CRAFT PRODUCTS
1737176,EVANGELINE COURTS HOUSING CO-OPERATIVE LIMITED,1986,41 B EVANGELINE COURT,WOLFVILLE,NS,B4P 2B4,N,HOUSING
1877036,EVERGREEN ECOLOGICAL COOPERATIVE LIMITED,1989,1774 STRONACH MOUNTAIN ROAD,MARGARETSVILLE,NS,B0S 1N0,P,WORKER LABOUR
1386318,FAIRWEST HOUSING CO-OPERATIVE LIMITED,1982,PO BOX 25081,HALIFAX,NS,B3M 4H4,N,HOUSING
1418228,FALLOUT HOUSING CO-OPERATIVE LIMITED,1982,6025 WILLOW STREET,HALIFAX,NS,B3K 1L5,N,HOUSING
3085677,FARMERS' MARKETS OF NOVA SCOTIA COOPERATIVE LTD.,2004,9 CHESTNUT LANE,DARTMOUTH,NS,B2Y 3X1,N,AGRICULTURE
3254330,FARMWORKS INVESTMENT CO-OPERATIVE LIMITED,2011,70 EDEN ROW,GREENWICH,NS,B4P 2R2,P,INVESTMENT
3296530,FISHERMAN'S COVE GALLERY CO-OP LTD.,2016,"PO BOX 564, STN MAIN",EASTERN PASSAGE,NS,B3G 1M8,N,CRAFT PRODUCTS
1555901,FLIP FLOP HOUSING CO-OPERATIVE LIMITED,1984,"C/O PATHWAYS HOUSING,
PO BOX 152 DMPS",DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
1919550,FORCHU HOUSING CO-OPERATIVE LIMITED,1989,31-A SAMMS COURT,HEBRON,NS,B5A 4A5,N,HOUSING
3137611,FORMER HEALTH CARE CO-OPERATIVE LIMITED,2006,6 WEBSTER COURT,KENTVILLE,NS,B3N 1H2,P,WORKER LABOUR
3059487,FOUR CORNERS HOUSING CO-OPERATIVE LIMITED,2001,66-B HAVELOCK DRIVE,YARMOUTH,NS,B5A 4G4,N,HOUSING
1540556,FRESH START HOUSING CO-OPERATIVE LIMITED,1983,"COMMUNITY HOUSING MANAGEMENT NETWORK
207-59 INGLIS PLACE",TRURO,NS,B2N 4B5,N,HOUSING
1773669,FUTURE FORESTRY SERVICES CO-OPERATIVE LIMITED,1987,PO BOX 1036,NEW GLASGOW,NS,B2H 5N8,P,FOREST PRODUCTS
3097409,FUTURE GROWTH CO-OP LTD.,2005,833 MAIN STREET,SYDNEY MINES,NS,B1V 2L9,N,INVESTMENT
3258610,GETTING TO KNOW CANCER COOPERATIVE LTD.,2011,ROOM 229A FORRESTER HALL           36 ARTHUR STREET,TRURO,NS,B2N 1X5,N,SERVICES
1494451,GIMMIE SHELTER CONTINUING HOUSING CO-OPERATIVE LIMITED,1983,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK
207 - 59 INGLIS PLACE",TRURO,NS,B2N 4B5,N,HOUSING
3013508,GLENDALE AREA COMMUNITY COOPERATIVE LTD. (CO-CHOMUNN BHRÀIGH NA H-AIBHNEADH),1997,4248 - 105 TRANS CANADA HWY,"GLENDALE, INVERNESS CO.",NS,B0E 3L0,N,SERVICES
3318376,GLITTER BEAN CAFE CO-OPERATIVE LTD.,2018,5896 SPRING GARDEN ROAD,HALIFAX,NS,B3H 3B8,P,WORKER LABOUR
2057133,GOLDEN POND HOUSING CO-OPERATIVE LIMITED,1990,"BOX 262, STN",SYDNEY MINES,NS,B1V 2Y5,N,HOUSING
3059460,GRAINERY FOOD CO-OPERATIVE LTD.,2001,2385 AGRICOLA STREET,HALIFAX,NS,B3K 4B8,N,RETAIL CONSUMER PRODUCTS
3264189,GRASS ROOTS UP CO-OPERATIVE LIMITED,2012,8618 HIGHWAY 366,AMHERST,NS,B4H 3Y2,P,AGRICULTURE
3299462,GREAT ISLAND ARTS CO-OPERATIVE LIMITED,2016,3284 CONNAUGHT AVENUE,HALIFAX,NS,B3L 3B3,N,CRAFT PRODUCTS
1827279,GREEN STEM CO-OPERATIVE LIMITED,1988,BOX 8714 STN. A,HALIFAX,NS,B3K 5M4,N,HOUSING
1990082,GUANTANAMERA CO-OPERATIVE LIMITED,1989,"58 GULL ROCK DRIVE, R.R. #1",HEAD OF JEDDORE,NS,B0J 1P0,P,SERVICES
3224429,GULF AQUARIUM AND MARINE STATION COOPERATIVE LTD. COOPÉRATIVE DE RECHERCHE MARINE ET AQUARIUM DU GOLF LTÉE,2007,PO BOX 697,CHETICAMP,NS,B0E 1H0,N,FISH PRODUCTS
3079828,GUNG HO! EMPLOYMENT CO-OPERATIVE LIMITED,2003,1221 BARRINGTON STREET,HALIFAX,NS,B3J 1Y2,N,SERVICES
3252414,GUYSBOROUGH COMMUNITY MARKET CO-OPERATIVE LIMITED,2011,"7035 HIGHWAY 16, RR2",GUYSBOROUGH,NS,B0H 1N0,N,AGRICULTURE
3247342,HALIFAX BREWERY FARMERS' MARKET CO-OP LTD.,2010,312 - 1496 LOWER WATER STREET,HALIFAX,NS,B3J 1R9,N,AGRICULTURE
3085936,HALIFAX CHEER ELITE CO-OPERATIVE LIMITED,2004,32 BIRKDALE CRESCENT,HALIFAX,NS,B3M 1H5,N,WORKER LABOUR
3235541,HALIFAX CIRCUS CO-OPERATIVE LTD.,2009,P.O. BOX 29112,HALIFAX,NS,B3L 4T8,N,WORKER LABOUR
3265337,HALIFAX MUSIC CO-OPERATIVE LIMITED,2012,P.O. BOX 997,HALIFAX,NS,B3J 2X2,N,SERVICES
1354520,HALIFAX PENINSULA HOUSING CO-OPERATIVE LIMITED,1979,PO BOX 31264,HALIFAX,NS,B3K 5Y5,N,HOUSING
1435396,HALIFAX WOMEN'S HOUSING CO-OPERATIVE LIMITED,1981,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
1351856,HALL'S HARBOUR WATER CO-OPERATIVE LIMITED,1972,3586 HIGHWAY #359,RR#3 CENTREVILLE,NS,B0P 1J0,P,SERVICES
2026177,HARBOUR GREENHOUSE CO-OPERATIVE LIMITED,1990,2767 HIGHWAY 223,MACKINNON'S HARBOUR,NS,B2C 1H3,P,WORKER LABOUR
3256143,HARMONY HEALTH CENTRE COOPERATIVE LIMITED,2011,1153 KING STREET,BRIDGEWATER,NS,B4V 1C3,P,SERVICES
3100157,HEALTH INFORMATICS CANADA RESEARCH LABORATORY (HICRELA) CO-OPERATIVE LIMITED,2005,APT. 217 - 1326 LOWER WATER STREET,HALIFAX,NS,B3J 3R3,N,SERVICES
3222622,HEALTHWISE HOLDINGS CO-OPERATIVE LIMITED,2007,PO BOX 1872,TRURO,NS,B2N 6C7,P,INVESTMENT
3102658,HEALTHY MINDS NETWORK CO-OPERATIVE LIMITED,2005,"45 ALDERNEY DRIVE
SUITE 200",DARTMOUTH,NS,B2Y 2N6,N,SERVICES
3160540,HEMFORD CEMETERY CO-OPERATIVE LTD.,2006,25 HEMFORD MILL ROAD,"HEMFORD, LUNENBURG COUNTY",NS,B0R 1E0,N,WORKER LABOUR
3252423,HERITAGE BOAT YARD COOPERATIVE LIMITED,2011,"PO BOX 672, 30 SCHOOL STREET",MAHONE BAY,NS,B0J 2E0,N,SERVICES
3039461,HERITAGE CAPE BRETON CONNECTION CO-OPERATIVE LTD.,2000,"PO BOX 1791, STATION A",SYDNEY,NS,B1P 6J4,N,SERVICES
3287240,HERMES ART GALLERY CO-OPERATIVE LIMITED,2015,"5682 NORTH STREET, #101",HALIFAX,NS,B3K 1N4,N,CRAFT PRODUCTS
1351872,HIGH HOPES HOUSING CO-OPERATIVE LIMITED,1980,"PO BOX 3307, QUINPOOL RPO",HALIFAX,NS,B3L 4T6,N,HOUSING
1780845,HIGHFIELD PARK HOUSING CO-OPERATIVE LIMITED,1982,43K JOSEPH YOUNG STREET,DARTMOUTH,NS,B3A 4S7,N,HOUSING
1450953,HIGHLAND HOUSING CO-OPERATIVE LIMITED,2001,25 - 86 ST. NINIAN ST.,ANTIGONISH,NS,B2G 1Y8,N,HOUSING
3270137,HOME HEIRLOOMS CO-OPERATIVE LIMITED,2013,216 COLLIER ROAD WEST,ELLERSHOUSE,NS,B0N 1L0,N,SERVICES
3058182,HONESTWORKINGPEOPLE.COM CO-OPERATIVE LIMITED,2001,2502 KINGS ROAD,SYDNEY FORKS,NS,B1L 1A1,P,SERVICES
3308208,HOPE PROJECT ADDICTION RECOVERY SERVICES CO-OPERATIVE LIMITED,2017,12 WATSON ROAD,POINT EDWARD HWY,NS,B2A 4P7,N,SERVICES
3294675,HOPE SEEDS CO-OPERATIVE LIMITED,2015,PO BOX 460,ANNAPOLIS ROYAL,NS,B0S 1A0,P,AGRICULTURE
3223356,HUBBARDS NURSERY SCHOOL CO-OPERATIVE LIMITED,2007,10089 ST. MARGARETS BAY ROAD,HUBBARDS,NS,B0J 1T0,N,SERVICES
1569442,HUBTOWN HOUSING CO-OPERATIVE LIMITED,1984,BOX 25048,TRURO,NS,B2N 7B8,N,HOUSING
1350664,HUNTINGTON POINT WATER CO-OPERATIVE ASSOCIATION LIMITED,1975,PO BOX 295,CANNING,NS,B0P 1H0,P,SERVICES
3080046,INVESTING IN NOVA SCOTIA ENTERPRISES CO-OPERATIVE LIMITED,2003,BOX 1872,TRURO,NS,B2N 6C7,N,INVESTMENT
1568509,JOE MACISAAC HOUSING CO-OPERATIVE LIMITED,1984,P.O. BOX 6943,PORT HAWKESBURY,NS,B9A 2W2,N,HOUSING
1727308,JOHN HUGH MACKENZIE HOUSING CO-OPERATIVE LIMITED,1986,102-5293 GREEN STREET,HALIFAX,NS,B3H 1N6,N,HOUSING
1862763,JOHNSTOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LIMITED,1988,132 NORTH POND LANE,JOHNSTOWN,NS,B0E 3B0,N,SERVICES
2537013,JUST US! COFFEE ROASTERS CO-OPERATIVE LIMITED,1996,11865 HIGHWAY #1,HORTONVILLE,NS,B4P 2R3,P,WORKER LABOUR
3063161,JUST US! FAIR TRADE INVESTMENT CO-OPERATIVE LIMITED,2002,11865 HIGHWAY #1,HORTONVILLE,NS,B4P 2R3,N,WORKER LABOUR
1433232,KABUKI HOUSING CO-OPERATIVE LIMITED,1982,2473 AGRICOLA ST.,HALIFAX,NS,B3K 4C3,N,HOUSING
3252167,KAZAN CO-OP LTD.,2011,1772 OXFORD STREET,HALIFAX,NS,B3H 3Z6,N,SERVICES
1351078,KENT CO-OPERATIVE LIMITED,1970,9319 COMMERCIAL STREET,NEW MINAS,NS,B4N 3G2,P,RETAIL CONSUMER PRODUCTS
3318648,KICK AT THE DARK THEATRE CO-OPERATIVE LIMITED,2018,209-1 RICHMOND STREET,DARTMOUTH,NS,B3A 4R1,N,SERVICES
3167235,KING'S BOOKSTORE CO-OPERATIVE LIMITED,2006,6350 COBURG ROAD,HALIFAX,NS,B3H 2A1,P,RETAIL CONSUMER PRODUCTS
3278800,KLMPT HOUSE CO-OP LIMITED,2014,"2153 HWY #1, RR #2",ANNAPOLIS ROYAL,NS,B0S 1A0,P,HOUSING
1396297,LA CO-OPERATIVE CHARLES FOREST LTEE,1981,BOX 3500,ARICHAT,NS,B0E 1A0,P,RETAIL CONSUMER PRODUCTS
1351232,LA CO-OPERATIVE DE CHETICAMP LIMITEE,1937,PO BOX 40,CHETICAMP,NS,B0E 1H0,P,RETAIL CONSUMER PRODUCTS
3046326,LA CO-OPERATIVE RADIO RICHMOND LIMITEE,2000,C.P. 250,PETIT DE GRAT,NS,B0E 2L0,N,SERVICES
2056510,LA COOPERATIVE RADIO CHETICAMP LIMITEE,1992,P.O. BOX 699,CHETICAMP,NS,B0E 1H0,N,SERVICES
3246424,LA COOPÉRATIVE DE TRANSPORT DE CHÉTICAMP LIMITÉE,2010,C.P. 1039,CHETICAMP,NS,B0E 1H0,N,SERVICES
3074367,LA RÉSIDENCE ACADIENNE CO-OPERATIVE LIMITED,2003,BOX 159,CHETICAMP,NS,B0E 1H0,P,SERVICES
3288944,LAHAVE CRAFT COOPERATIVE LIMITED,2015,PO BOX 731,LUNENBURG,NS,B0J 2C0,N,CRAFT PRODUCTS
1351261,LAKE CITY CO-OPERATIVE LIMITED,1977,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK
207 - 59 INGLIS PLACE",TRURO,NS,B2N 4B5,N,HOUSING
1360598,LAMPLIGHT HOUSING CO-OPERATIVE LIMITED,1980,"PO BOX 844, STATION M",HALIFAX,NS,B3J 2V2,N,HOUSING
3319912,LANDING STRONG CO-OPERATIVE LIMITED,2018,P.O. BOX 397,WINDSOR,NS,B0N 2T0,N,WORKER LABOUR
1925502,LANDVIEW HOUSING CO-OPERATIVE LIMITED,1989,"C/O PATHWAYS HOUSING SERVICES
PO BOX 152 DMPS",DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
3301326,LAWRENCETOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LTD.,2016,"108 LAWRENCETOWN LANE, RR1",LAWRENCETOWN,NS,B0S 1M0,P,INVESTMENT
1692488,LE MANOIR SAINT-PIERRE HOUSING COOPERATIVE LIMITED,1986,BOX 1006,CHETICAMP,NS,B0E 1H0,N,HOUSING
1517465,LEMOYNE COOPERATIVE SOCIETY LIMITED,1937,PO BOX 39,ST. JOSEPH DE MOINE,NS,B0E 3A0,P,RETAIL CONSUMER PRODUCTS
3321514,LIFE. SCHOOL. HOUSE CO-OPERATIVE LIMITED,2018,315 PORTLAND ST,DARTMOUTH,NS,B2Y 1K3,N,SERVICES
